"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AUTOMOTIVE";"AVAILABILITY";"CENTERLINE_PITCH";"CENTROID_NOT_SPECIFIED";"COMMENT";"CONTINUOUS_DRAIN_CURRENT";"DATASHEET";"DEPLETION_MODE";"DESCRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"DRAIN_TO_SOURCE_RESISTANCE";"DRAIN_TO_SOURCE_VOLTAGE";"EU_ROHS_COMPLIANCE";"FOOTPRINT_VARIANT_NAME_0";"GATE_CHARGE_AT_VGS";"GATE_TO_SOURCE_VOLTAGE";"HEIGHT";"LEAD_FREE";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAX_FORWARD_DIODE_VOLTAGE";"MAX_JUNCTION_TEMP";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"NUMBER_OF_CHANNELS";"NUMBER_OF_POSITIONS";"NUMBER_OF_P_CHANNELS";"PACKAGE";"POPULARITY";"POWER_DISSIPATION";"PREFIX";"PRICE";"PULSE_DRAIN_CURRENT";"PURCHASE-URL";"REVERSE_RECOVERY_TIME";"ROHS";"RTHJA_MAX";"SPICEPREFIX";"STANDOFF_HEIGHT";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"THRESHOLD_VGS_MAX";"THRESHOLD_VGS_MIN";"TRANSCONDUCTANCE";"TURN_OFF_DELAY_TIME";"TURN_ON_DELAY_TIME";"TYP_FORWARD_DIODE_VOLTAGE";"VERIFICATION_VERSION";
"3";"0R";"R-EU_R0603";"R0603";"R11, R22, R23";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";
"3";"100R";"R-EU_R0603";"R0603";"R3, R4, R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";
"6";"100nF";"C-EUC0805";"C0805";"C1, C3, C5, C7, C10, C12";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";
"8";"10K";"R-EU_R0603";"R0603";"R2, R6, R10, R15, R19, R20, R21, R25";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";
"5";"10uF";"C-EUC0805";"C0805";"C2, C6, C8, C9, C11";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";
"3";"12K";"R-EU_R0603";"R0603";"R8, R12, R17";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";
"1";"13K";"R-EU_R0603";"R0603";"R13";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";
"2";"13k";"R-EU_R0603";"R0603";"R9, R18";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";
"2";"22uF";"C-EUC0805";"C0805";"C4, C13";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";
"3";"282834-2";"282834-2";"CONN_282834-2";"J1, J2, J5";"Terminal block; 2.54mm; angled 90°; 0.03÷1mm2; ways: 2; 10A; H: 10mm Check prices";"";"";"";"Good";"2.54 mm[.1 in]";"";"282834-2";"";"";"";" Wire-To-Board Terminal Block, 2, 150 V, 10 A, 30 Awg, 16 Awg, 1.4 Mm ";"";"";"";"";"";"";"";"Compliant with Exemptions";"";"";"";"";"";"";"";"";"";"TE Connectivity";"";"";"";"";"";"";"282834-2";"";"";"2";"";"None";"";"";"";"None";"";"https://pricing.snapeda.com/search/part/282834-2/?ref=eda";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
