C1, 62.26, 38.37, 0.00, 100nF, C0805
C10, 41.40, 5.93, 270.00, 100nF, C0805
C11, 39.14, 5.89, 270.00, 10uF, C0805
C12, 35.75, 13.19, 180.00, 100nF, C0805
C13, 31.52, 16.04, 0.00, 22uF, C0805
C2, 62.26, 40.72, 0.00, 10uF, C0805
C3, 54.29, 36.01, 270.00, 100nF, C0805
C4, 51.18, 31.70, 90.00, 22uF, C0805
C5, 75.59, 26.66, 0.00, 100nF, C0805
C6, 73.04, 35.18, 0.00, 10uF, C0805
C7, 30.90, 34.45, 180.00, 100nF, C0805
C8, 35.86, 38.97, 180.00, 10uF, C0805
C9, 34.19, 27.95, 180.00, 10uF, C0805
L1, 57.96, 30.80, 180.00, LQH5BPB2R2NT0L, IND_LQH5BPB2R2NT0L
L2, 30.43, 9.72, 90.00, LQH5BPB2R2NT0L, IND_LQH5BPB2R2NT0L
Q1, 61.97, 46.53, 180.00, VISHAY_SI7463DP-T1-E3VISHAY_SI7463DP-T1-E3_0_0, VISHAY_SI7463DP-T1-E3_0
Q2, 43.00, 15.80, 90.00, VISHAY_SI7463DP-T1-E3VISHAY_SI7463DP-T1-E3_0_0, VISHAY_SI7463DP-T1-E3_0
Q3, 42.87, 46.59, 90.00, VISHAY_SI7463DP-T1-E3VISHAY_SI7463DP-T1-E3_0_0, VISHAY_SI7463DP-T1-E3_0
R1, 53.52, 31.64, 270.00, 33.2K, R0603
R10, 75.08, 31.36, 270.00, 10K, R0603
R11, 78.67, 31.25, 270.00, 0R, R0603
R12, 39.50, 34.58, 270.00, 12K, R0603
R13, 38.65, 41.81, 270.00, 13K, R0603
R14, 35.96, 41.14, 0.00, 3K, R0603
R15, 40.53, 28.77, 180.00, 10K, R0603
R16, 34.15, 25.76, 0.00, 3K, R0603
R17, 39.54, 31.41, 270.00, 12K, R0603
R18, 34.95, 23.10, 90.00, 13k, R0603
R19, 39.98, 37.29, 180.00, 10K, R0603
R2, 57.41, 39.33, 180.00, 10K, R0603
R20, 31.66, 38.71, 180.00, 10K, R0603
R21, 31.34, 31.43, 180.00, 10K, R0603
R22, 27.17, 38.79, 270.00, 0R, R0603
R23, 27.47, 29.37, 270.00, 0R, R0603
R24, 31.47, 13.92, 180.00, 33.2K, R0603
R25, 39.18, 10.41, 90.00, 10K, R0603
R3, 66.63, 49.53, 180.00, 100R, R0603
R4, 45.58, 11.66, 90.00, 100R, R0603
R5, 45.60, 42.42, 90.00, 100R, R0603
R6, 66.61, 35.29, 0.00, 10K, R0603
R7, 72.89, 37.66, 180.00, 3K, R0603
R8, 67.39, 32.56, 90.00, 12K, R0603
R9, 72.01, 40.31, 270.00, 13k, R0603
TLV1, 71.10, 30.12, 270.00, TLV9022, TLV9022
TLV2, 35.77, 33.35, 90.00, TLV9022, TLV9022
U10, 57.70, 36.50, 180.00, TPS565201DDCR, SOT95P280X110-6N
U11, 36.21, 9.82, 90.00, TPS565201DDCR, SOT95P280X110-6N
