C1, 26.63, 25.84, 180.00, 100nF, C0805
C2, 22.29, 25.82, 0.00, 100nF, C0805
C3, 9.39, 18.83, 180.00, 2u2F, C0805K
C4, 13.92, 16.01, 90.00, 100nF, C0805K
C5, 3.01, 18.72, 180.00, 2u2F, C0805K
C6, 7.73, 15.84, 90.00, 100nF, C0805K
C7, 15.46, 18.95, 180.00, 2u2F, C0805K
C8, 20.23, 16.21, 90.00, 100nF, C0805K
IC1, 24.45, 29.88, 180.00, TCA6408AQPWRQ1, SOP65P640X120-16N
J1, 33.27, 14.73, 0.00, FC1-10-02-T-WT-TR, FC11002TWTTR
R10, 12.23, 19.44, 270.00, 1K, R0603
R11, 18.35, 19.78, 270.00, 1K, R0603
R12, 5.84, 19.29, 270.00, 1K, R0603
R2, 30.65, 21.59, 90.00, 0R, R0603
R20, 17.85, 13.22, 0.00, 10K, R0603
R21, 28.50, 21.58, 90.00, 0R, R0603
R3, 17.42, 29.82, 180.00, 10K, R0603
R4, 17.47, 31.93, 180.00, 0R, R0603
R5, 29.83, 27.87, 270.00, 4K7, R0603
R7, 11.62, 12.94, 0.00, 10K, R0603
R9, 5.36, 12.77, 0.00, 10K, R0603
U1, 11.62, 15.96, 270.00, SN74LVC1G17DCKR, SOT65P210X110-5N
U2, 5.41, 15.81, 270.00, SN74LVC1G17DCKR, SOT65P210X110-5N
U3, 17.81, 16.19, 270.00, SN74LVC1G17DCKR, SOT65P210X110-5N
