C1, 57.24, 21.99, 0.00, 47uF, C0805
C2, 57.39, 27.54, 0.00, 47uF, C0805
C3, 57.42, 29.75, 0.00, 47uF, C0805
C4, 36.69, 35.25, 180.00, 33nF, C0805
C5, 57.22, 24.13, 0.00, 47uF, C0805
C6, 35.01, 7.09, 180.00, 33nF, C0805
J2, 83.82, 27.05, 90.00, FLE-108-01-XX-DV, FLE-108-01-XX-DV
J5, 21.46, 26.42, 90.00, FLE-120-01-XX-DV, FLE-120-01-XX-DV
R1, 37.17, 37.65, 0.00, 6k, R0603
R10, 40.66, 48.72, 270.00, 0R, R0603
R11, 41.23, 33.68, 90.00, 0R, R0603
R12, 39.87, 36.80, 90.00, 10k, R0603
R13, 35.44, 9.21, 0.00, 6k, R0603
R14, 39.82, 16.51, 90.00, 100K, R0603
R15, 42.94, 16.43, 90.00, 3K3, R0603
R16, 41.95, 8.23, 270.00, 3K3, R0603
R17, 45.35, 8.28, 90.00, 100K, R0603
R18, 45.81, 16.41, 270.00, 100K, R0603
R19, 44.35, 19.80, 270.00, 0R, R0603
R2, 39.05, 45.54, 90.00, 100K, R0603
R20, 43.64, 5.05, 90.00, 0R, R0603
R21, 37.63, 16.52, 270.00, 0R, R0603
R22, 41.28, 20.00, 270.00, 0R, R0603
R23, 40.18, 4.92, 90.00, 0R, R0603
R24, 38.30, 8.05, 90.00, 10k, R0603
R3, 42.50, 45.61, 90.00, 3K3, R0603
R4, 42.73, 36.89, 270.00, 3K3, R0603
R5, 45.51, 36.91, 90.00, 100K, R0603
R6, 45.63, 45.61, 270.00, 100K, R0603
R7, 44.04, 48.88, 270.00, 0R, R0603
R8, 44.21, 33.64, 90.00, 0R, R0603
R9, 36.90, 45.52, 270.00, 0R, R0603
U1, 57.11, 40.08, 0.00, VNH5019ATR-E, IC_VNH5019ATR-E
U2, 57.23, 11.58, 0.00, VNH5019ATR-E, IC_VNH5019ATR-E
